year	ip_traffic	fixed_traffic	mobile_traffic
1990	0.001	0.001	nan
1991	0.002	0.002	nan
1992	0.005	0.004	nan
1993	0.01	0.01	nan
1994	0.02	0.02	nan
1995	0.18	0.17	nan
1996	1.9	1.8	nan
1997	5.4	5.0	nan
1998	12	11	nan
1999	28	26	nan
2000	84	75	nan
2001	197	175	nan
2002	405	356	nan
2003	784	681	nan
2004	1477	1267	nan
2005	2426	2055	0.9
2006	3992	3339	4
2007	6430	5219	15
2008	10174	8140	33
2009	14686	10942	91
2010	20151	14955	237
2011	30734	23288	597
2012	43570	31339	885
2013	51168	34952	1480
2014	59848	39909	2514
2015	72521	49494	3685
2016	96054	65942	7201
2017	122000	85000	12000
